,ontology,failed,failed_repair,steps,time,calls,iic_mcs,iic_remove,inf_mcs,inf_weakening,inf_remove
273,cdao,False,False,1.0,3281.0,17101.0,0.0,0.0,776.0,647.0,776.0
274,cdao,False,False,1.0,2798.0,3852.0,0.5,0.5,776.0,776.0,776.0
275,cdao,False,False,1.0,41566.0,15257.0,0.07677760968229955,1.0,7757.0,5519.0,5397.0
276,cdao,False,False,1.0,2558.0,2372.0,0.002544529262086514,0.5,1430.0,648.0,648.0
277,cdao,False,False,2.0,3583.0,6378.0,0.3333333333333333,0.5,1156.0,1155.0,1155.0
278,cdao,False,False,2.0,12008.0,17878.0,0.5,1.0,6032.0,6032.0,6029.0
279,cdao,False,False,1.0,6638.0,6270.0,0.0,,5962.0,5281.0,
280,cdao,False,False,3.0,5178.0,8239.0,0.0,0.4,1204.0,1068.0,1070.0
281,cdao,False,False,1.0,9503.0,3216.0,1.0,0.715,3716.0,4002.0,3830.0
282,cdao,False,False,1.0,156400.0,35967.0,1.0,0.5,2589.0,2712.0,2712.0
283,cdao,False,False,1.0,4082.0,30158.0,0.5,1.0,1298.0,1298.0,646.0
284,cdao,False,False,11.0,27427.0,41266.0,0.9696969696969697,0.03411513859275053,1031.0,1155.0,4651.0
285,cdao,False,False,6.0,9451.0,25012.0,0.0,0.0,1053.0,795.0,1053.0
286,cdao,False,False,8.0,12839.0,29406.0,0.5,0.5,647.0,647.0,647.0
287,cdao,False,False,1.0,2967.0,2253.0,1.0,0.0,1275.0,1277.0,2027.0
288,cdao,False,False,1.0,5903.0,28367.0,1.0,1.0,649.0,909.0,649.0
289,cdao,False,False,2.0,6757.0,29028.0,0.5003265839320705,0.14715719063545152,3593.0,3594.0,4227.0
290,cdao,False,False,2.0,3950.0,3688.0,0.5,0.0,925.0,925.0,927.0
291,cdao,False,False,1.0,2660.0,2155.0,0.5,0.5,4774.0,4774.0,4774.0
292,cdao,False,False,1.0,4609.0,6204.0,0.011746280344557557,0.7625,4377.0,3130.0,3046.0
